month,advances,declines,ratio
12-Feb-2020,722,1109,0.65
11-Feb-2020,800,1022,0.78
10-Feb-2020,672,1197,0.56
07-Feb-2020,923,892,1.03
06-Feb-2020,1063,764,1.39
05-Feb-2020,1032,791,1.3
04-Feb-2020,1262,558,2.26
03-Feb-2020,710,1151,0.62
01-Feb-2020,371,1426,0.26
31-Jan-2020,670,1127,0.59
30-Jan-2020,532,1314,0.4
29-Jan-2020,994,842,1.18
28-Jan-2020,619,1234,0.5
27-Jan-2020,761,1100,0.69
24-Jan-2020,1064,766,1.39
23-Jan-2020,1078,752,1.43
22-Jan-2020,737,1097,0.67
21-Jan-2020,787,1055,0.75
20-Jan-2020,626,1225,0.51
17-Jan-2020,946,886,1.07
16-Jan-2020,1083,750,1.44
15-Jan-2020,1090,742,1.47
14-Jan-2020,1072,755,1.42
13-Jan-2020,1207,665,1.82
10-Jan-2020,1024,811,1.26
09-Jan-2020,1372,475,2.89
08-Jan-2020,725,1109,0.65
07-Jan-2020,1248,578,2.16
06-Jan-2020,360,1502,0.24
03-Jan-2020,879,973,0.9
02-Jan-2020,1356,482,2.81
01-Jan-2020,1021,759,1.35
31-Dec-2019,962,854,1.13
30-Dec-2019,1089,778,1.4
27-Dec-2019,1137,703,1.62
26-Dec-2019,987,852,1.16
24-Dec-2019,828,999,0.83
23-Dec-2019,826,1020,0.81
20-Dec-2019,888,938,0.95
19-Dec-2019,930,863,1.08
18-Dec-2019,856,966,0.89
17-Dec-2019,1073,755,1.42
16-Dec-2019,831,1035,0.8
13-Dec-2019,1197,629,1.9
12-Dec-2019,1081,744,1.45
11-Dec-2019,696,1123,0.62
10-Dec-2019,500,1357,0.37
09-Dec-2019,735,1116,0.66
06-Dec-2019,527,1316,0.4
05-Dec-2019,791,1033,0.77
04-Dec-2019,992,839,1.18
03-Dec-2019,573,1264,0.45
02-Dec-2019,711,1134,0.63
29-Nov-2019,876,934,0.94
28-Nov-2019,971,869,1.12
27-Nov-2019,932,894,1.04
26-Nov-2019,753,1098,0.69
25-Nov-2019,1105,768,1.44
22-Nov-2019,846,961,0.88
21-Nov-2019,730,1099,0.66
20-Nov-2019,886,967,0.92
19-Nov-2019,855,987,0.87
18-Nov-2019,847,1019,0.83
15-Nov-2019,844,1042,0.81
14-Nov-2019,711,1133,0.63
13-Nov-2019,679,1175,0.58
11-Nov-2019,882,954,0.92
08-Nov-2019,684,1134,0.6
07-Nov-2019,945,884,1.07
