Symbol,Close,200-EMA,Condition,,
HINDALCO,412.80,266.72,Higher,,
HAL,1000.30,906.70,Higher,,
HINDCOPPER,185.55,84.22,Higher,,
HINDPETRO,265.60,225.38,Higher,,
HINDUNILVR,2402.10,2250.90,Higher,,
HINDZINC,313.10,260.22,Higher,,
HONAUT,42143.50,37915.55,Higher,,
HUDCO,47.35,40.08,Higher,,
HDFC,2464.20,2342.28,Higher,,
HUHTAMAKI,290.90,280.21,Higher,,
ICICIBANK,609.85,519.26,Higher,,
ICICIGI,1484.80,1391.06,Higher,,
ICICIPRULI,572.60,464.28,Higher,,
ISEC,489.65,426.74,Higher,,
ICRA,3252.70,2908.98,Higher,,
IDBI,38.75,34.84,Higher,,
IDFCFIRSTB,56.25,45.58,Higher,,
IDFC,56.20,40.92,Higher,,
IFBIND,916.65,943.47,Lower,,
IIFL,273.35,181.43,Higher,,
IIFLWAM,1179.85,1105.77,Higher,,
IOLCP,665.55,617.40,Higher,,
IRB,108.10,107.60,Higher,,
IRCON,93.45,87.43,Higher,,
ITC,204.00,204.81,Lower,,
ITI,123.70,117.65,Higher,,
INDIACEM,168.70,148.69,Higher,,
IBULHSGFIN,184.90,206.55,Lower,,
IBREALEST,86.80,75.37,Higher,,
INDIAMART,6962.90,6356.39,Higher,,
INDIANB,123.80,98.82,Higher,,
IEX,401.55,263.08,Higher,,
INDHOTEL,117.80,112.18,Higher,,
IOC,103.70,93.33,Higher,,
IOB,15.95,12.89,Higher,,
IRCTC,1792.30,1533.85,Higher,,
INDOCO,357.25,279.61,Higher,,
IGL,525.55,481.43,Higher,,
INDUSTOWER,256.50,235.36,Higher,,
INDUSINDBK,948.85,872.89,Higher,,
NAUKRI,4484.05,4234.53,Higher,,
INFY,1330.65,1182.14,Higher,,
INGERRAND,792.15,678.13,Higher,,
INOXLEISUR,280.35,290.53,Lower,,
INDIGO,1674.95,1520.76,Higher,,
IPCALAB,2161.90,1950.27,Higher,,
JBCHEPHARM,1434.25,1039.63,Higher,,
JKCEMENT,2776.70,2199.80,Higher,,
JKLAKSHMI,412.00,350.17,Higher,,
JKPAPER,143.90,123.09,Higher,,
JKTYRE,119.80,94.92,Higher,,
JMFINANCIL,80.80,83.71,Lower,,
JSWENERGY,120.75,75.19,Higher,,
JSWSTEEL,734.25,410.21,Higher,,
JTEKTINDIA,84.40,82.25,Higher,,
JAGRAN,55.20,49.52,Higher,,
JAICORPLTD,90.30,88.65,Higher,,
J&KBANK,27.00,24.02,Higher,,
JAMNAAUTO,69.55,57.64,Higher,,
JINDALSAW,92.60,72.75,Higher,,
JSLHISAR,177.50,118.66,Higher,,
JSL,93.90,65.86,Higher,,
JINDALSTEL,476.20,287.58,Higher,,
JCHAC,2238.15,2391.56,Lower,,
JUBLFOOD,2818.50,2540.39,Higher,,
JUSTDIAL,805.70,676.42,Higher,,
JYOTHYLAB,146.40,143.52,Higher,,
KEI,520.10,456.35,Higher,,
KNRCON,204.60,170.93,Higher,,
KRBL,218.65,222.48,Lower,,
KSB,926.85,684.39,Higher,,
KAJARIACER,879.05,744.56,Higher,,
KALPATPOWR,378.40,332.67,Higher,,
KANSAINER,553.40,541.70,Higher,,
KTKBANK,65.15,57.91,Higher,,
KARURVYSYA,53.40,47.63,Higher,,
KSCL,743.25,532.71,Higher,,
KEC,381.40,369.55,Higher,,
KOLTEPATIL,234.65,216.02,Higher,,
KOTAKBANK,1755.45,1713.11,Higher,,
L&TFH,89.10,85.19,Higher,,
LTTS,2530.45,2205.39,Higher,,
LICHSGFIN,429.15,378.80,Higher,,
LAOPALA,223.55,212.05,Higher,,
LAXMIMACH,6077.70,5155.16,Higher,,
LTI,3618.85,3394.29,Higher,,
LT,1383.60,1262.79,Higher,,
LAURUSLABS,491.75,323.9,Lower,,
LEMONTREE,38.05,36.43,Higher,,
LINDEINDIA,1793.15,1206.09,Higher,,
