STOCK1 STOCK2 PORTFOLIO_VALUE
GAEL TATACONSUM 121787.38901000001
HINDUNILVR UBL 104362.24939999996
JYOTHYLAB TATACONSUM 119849.12719999994
KSCL NESTLEIND 109304.41327999998
KSCL TATACOFFEE 102408.41624999997
KSCL TATACONSUM 112390.04035000011
KSCL MCDOWELL-N 113387.55903000006
KSCL VSTIND 126485.30195000001
NESTLEIND UBL 107635.6782200001
PGHH VSTIND 106382.40978999995
UBL MCDOWELL-N 105297.24736000001
UBL VSTIND 102804.58762
MCDOWELL-N ZYDUSWELL 100122.48853999998
AXISBANK FEDERALBNK 103756.70241000004
BAJFINANCE KOTAKBANK 111556.96696999996
BAJAJFINSV HDFCBANK 107766.63546000002
BANKBARODA TATAINVEST 114714.60916000002
MAHABANK FEDERALBNK 103722.81471999994
MAHABANK TATAINVEST 113369.83329999998
CENTRALBK PEL 104250.23167000004
CENTRALBK SHRIRAMCIT 116505.54789999998
CHOLAHLDNG CHOLAFIN 105953.74498
CHOLAHLDNG HDFCBANK 100771.27819000001
CHOLAHLDNG SBIN 100319.47311000002
CHOLAFIN CUB 111136.50191999995
CHOLAFIN HDFCBANK 124359.73284000004
CUB HDFCBANK 108372.85203000005
CUB ICICIBANK 114466.10743
CUB KOTAKBANK 103312.60520999998
CUB MUTHOOTFIN 114975.82272000004
IDFC IOB 110523.89149000005
IOB PNB 101491.46435000002
IOB UNIONBANK 103846.19655
INDUSINDBK PNB 122590.58717999993
INDUSINDBK UNIONBANK 115166.03756
L&TFH SHRIRAMCIT 104320.84234000003
MANAPPURAM MUTHOOTFIN 101999.54075
PFC SBIN 112236.73197000004
BSOFT REDINGTON 114983.22578000005
INFY PERSISTENT 111264.14925999996
INFY TECHM 100168.08712000001
BRIGADE PRESTIGE 109190.81460000001
PHOENIXLTD PRESTIGE 114853.38877999998
3MINDIA CONCOR 105925.2328
3MINDIA GRAPHITE 101549.23964000006
3MINDIA HEG 117408.41114000008
AIAENG KNRCON 119066.11693999996
AIAENG NCC 113448.55658000002
ASTRAL CONCOR 114311.8330100001
BEML BLUESTARCO 103975.80864999995
BEML BBTC 106650.86567000007
BEML GODREJIND 101453.00211999999
BEML LAXMIMACH 128825.06563
BALMLAWRIE BLUEDART 116387.50389999998
BALMLAWRIE LAXMIMACH 125230.93004
BEL ENGINERSIN 117254.25318999999
BHEL BLUESTARCO 117170.87622
BHEL CARBORUNIV 123842.22609000004
BHEL CERA 125598.31922000006
BHEL CONCOR 106555.52672
BHEL FINCABLES 112148.87266000002
BHEL GODREJIND 111080.74509999997
BHEL HEG 116496.79398000002
BHEL HAVELLS 108829.88018999998
BHEL KAJARIACER 107074.88260999996
BHEL LAXMIMACH 106460.64650000003
BHEL NBCC 103789.21319000001
BHEL NCC 124812.10361999998
BHEL PNCINFRA 112169.44624999996
BHEL SKFINDIA 130426.17202000003
BHEL THERMAX 115874.16197999999
BHEL TRITURBINE 115670.53065000009
BHEL VOLTAS 101559.80535000001
BBTC LAXMIMACH 113062.77227999996
CARBORUNIV FINCABLES 100925.09274
CARBORUNIV TRITURBINE 100457.17763000003
CARBORUNIV VGUARD 110125.25743000001
CERA HEG 112321.48359
CERA INGERRAND 100226.36644999996
CERA KALPATPOWR 109694.79172000007
CERA LT 103771.14886000002
CERA TRITURBINE 105044.79607999994
CUMMINSIND CYIENT 104728.09566000004
CYIENT ELGIEQUIP 133754.20254000003
CYIENT FINPIPE 100967.65435999996
CYIENT HEG 105336.79935000003
CYIENT KEI 107652.36941000001
CYIENT KALPATPOWR 104034.36799999991
CYIENT KEC 106847.45825000008
CYIENT TIMKEN 116332.86944000001
CYIENT TRITURBINE 128359.95343999997
ELGIEQUIP FINCABLES 107062.72865000005
ELGIEQUIP VGUARD 110323.99285000004
ENGINERSIN KNRCON 120667.75790000004
ENGINERSIN MMTC 105300.04112999993
FINCABLES LAXMIMACH 101705.06194999996
FINPIPE HEG 100894.17494999999
GMRINFRA GODREJIND 113559.29199999993
GMRINFRA GRINDWELL 117554.03867
GMRINFRA GPPL 103603.76237000007
GMRINFRA HAVELLS 105318.79245999991
GMRINFRA INGERRAND 107934.22674000001
GMRINFRA KAJARIACER 106486.33461999994
GMRINFRA NBCC 117384.75644
GMRINFRA NCC 120546.74654000002
GMRINFRA PNCINFRA 111619.08935999994
GMRINFRA THERMAX 119801.43815000002
GMRINFRA TRITURBINE 104290.9588500001
GMRINFRA VOLTAS 112657.48462000008
GODREJIND NBCC 130620.86183999998
GRAPHITE GREAVESCOT 108795.07194999998
GRAPHITE GRINDWELL 105535.52251000004
GRAPHITE HEG 111811.49183999996
GRAPHITE IRB 107487.8834400001
GRAPHITE INGERRAND 111433.63373000003
GRAPHITE KEI 111635.85363999999
GRAPHITE KSB 103227.73177
GRAPHITE KALPATPOWR 105127.48752000002
GRAPHITE LAXMIMACH 104109.14412000008
GRAPHITE NBCC 103551.43605999998
GRAPHITE NCC 121398.43364999993
GRAPHITE NESCO 112283.35567000002
GRAPHITE PNCINFRA 106305.77125999995
GRAPHITE SKFINDIA 110475.70819999996
GRAPHITE SCHAEFFLER 112845.91053999998
GRAPHITE SCI 102634.2906099999
GRAPHITE SUZLON 116640.22849000007
GRAPHITE TIMKEN 100304.53783999998
GRAPHITE TRITURBINE 108425.23089000006
GESHIP KNRCON 113798.68948999996
GESHIP LAXMIMACH 102559.40722000004
GESHIP ORIENTREF 103589.35556
GRINDWELL HEG 106599.34998
GRINDWELL IRB 103989.32666000005
GRINDWELL KALPATPOWR 101520.04676000001
GRINDWELL KEC 108857.90613999992
GRINDWELL LAXMIMACH 101799.25207000005
GRINDWELL NBCC 105848.51056999998
GRINDWELL NCC 119221.73095999999
GRINDWELL SKFINDIA 101613.47068000001
GRINDWELL SCI 106571.03981000003
HEG HAVELLS 116822.79570999996
HEG INGERRAND 101393.97517
HEG KAJARIACER 112232.20319000006
HEG KALPATPOWR 120406.52638999994
HEG PNCINFRA 127218.86976999993
HEG SKFINDIA 112379.04309000006
HEG VOLTAS 121779.57794999999
HAVELLS KAJARIACER 108928.92484999995
HAVELLS VOLTAS 110203.65740000004
INGERRAND KEI 105402.55814999997
INGERRAND KALPATPOWR 102509.16470999997
INGERRAND LAXMIMACH 107900.09921999999
INGERRAND NBCC 114459.12279999998
INGERRAND NCC 114092.15303000003
INGERRAND PNCINFRA 104596.00925
INGERRAND SKFINDIA 103723.26751000006
INGERRAND THERMAX 100830.32326999995
INGERRAND TRITURBINE 102786.84469000001
INDIGO SKFINDIA 129567.92326000001
KEI KNRCON 110704.06516000003
