Asset 1,Asset 2
ALKEM,INDOCO
ALKEM,POLYMED
ALKEM,WOCKPHARMA
APOLLOHOSP,JBCHEPHARM
BIOCON,SYNGENE
BLISSGVS,DCAL
BLISSGVS,FDC
BLISSGVS,SPARC
CADILAHC,IOLCP
CADILAHC,IPCALAB
CADILAHC,SYNGENE
DRREDDY,GLENMARK
GRANULES,IPCALAB
GRANULES,SHILPAMED
INDOCO,POLYMED
NATCOPHARM,PFIZER
NATCOPHARM,PGHL
NATCOPHARM,SANOFI
NATCOPHARM,TORNTPHARM
PFIZER,PGHL
PFIZER,SANOFI
PFIZER,SHILPAMED
POLYMED,WOCKPHARMA
PGHL,SANOFI
SANOFI,TORNTPHARM
BPCL,HINDPETRO
BPCL,IOC
BPCL,MRPL
COALINDIA,ONGC
IOC,MRPL
ADANITRANS,IGL
CESC,GUJGASLTD
CESC,NTPC
GAIL,NHPC
GSPL,IGL
GSPL,JSWENERGY
GSPL,TORNTPOWER
NHPC,NLCINDIA
NLCINDIA,SJVN
SJVN,TATAPOWER
ALOKINDS,BATAINDIA
ALOKINDS,GARFIBRES
ALOKINDS,HEROMOTOCO
ALOKINDS,MAHSCOOTER
AMARAJABAT,BATAINDIA
AMARAJABAT,MAHSCOOTER
AMARAJABAT,WELSPUNIND
BAJAJ-AUTO,EXIDEIND
BAJAJ-AUTO,RAJESHEXPO
BAJAJ-AUTO,VTL
BALKRISIND,BOSCHLTD
BALKRISIND,WABCOINDIA
BOSCHLTD,JAMNAAUTO
BOSCHLTD,JUBLFOOD
BOSCHLTD,LUXIND
BOSCHLTD,MINDAIND
BOSCHLTD,SHOPERSTOP
BOSCHLTD,TITAN
BOSCHLTD,TRENT
BOSCHLTD,VAIBHAVGBL
BOSCHLTD,WABCOINDIA
BOSCHLTD,WELSPUNIND
CENTURYPLY,LAOPALA
DELTACORP,MINDACORP
DELTACORP,WABCOINDIA
EIHOTEL,TRENT
EIHOTEL,WELSPUNIND
EICHERMOT,HEROMOTOCO
EXIDEIND,TRIDENT
GARFIBRES,ICIL
GARFIBRES,TATAMTRDVR
GARFIBRES,TATAMOTORS
GARFIBRES,VMART
HEROMOTOCO,MHRIL
HEROMOTOCO,SUPRAJIT
INDHOTEL,TRIDENT
INDHOTEL,WELSPUNIND
ICIL,WELSPUNIND
JTEKTINDIA,MAHINDCIE
JTEKTINDIA,VTL
JTEKTINDIA,WELSPUNIND
JAMNAAUTO,WABCOINDIA
JAMNAAUTO,WELSPUNIND
JUBLFOOD,VMART
LAOPALA,SWANENERGY
MAHINDCIE,RELAXO
MAHINDCIE,TATAMTRDVR
MAHINDCIE,TATAMOTORS
MAHINDCIE,VMART
MAHINDCIE,VIPIND
MAHINDCIE,VTL
MAHINDCIE,WELSPUNIND
MINDACORP,WABCOINDIA
MOTHERSUMI,SUPRAJIT
RAJESHEXPO,UFLEX
RELAXO,VMART
RELAXO,VIPIND
SHOPERSTOP,TRENT
TATAMTRDVR,VMART
TATAMTRDVR,VIPIND
TITAN,VAIBHAVGBL
TRENT,VIPIND
VMART,VIPIND
VMART,WELSPUNIND
WABCOINDIA,WELSPUNIND
CCL,DABUR
CCL,GODREJCP
CCL,HINDUNILVR
CCL,NESTLEIND
CCL,ZYDUSWELL
DABUR,UBL
EMAMILTD,TATACOFFEE
GODFRYPHLP,RADICO
GODFRYPHLP,ZYDUSWELL
GODREJCP,ZYDUSWELL
ITC,KSCL
RADICO,UBL
AXISBANK,BAJFINANCE
AXISBANK,BANKBARODA
AXISBANK,CRISIL
AXISBANK,CENTRALBK
AXISBANK,CUB
AXISBANK,IDFCFIRSTB
AXISBANK,IDFC
AXISBANK,IOB
AXISBANK,MFSL
AXISBANK,MCX
AXISBANK,SHRIRAMCIT
AXISBANK,UNIONBANK
BANKBARODA,CRISIL
BANKBARODA,CENTRALBK
BANKBARODA,IDFCFIRSTB
BANKBARODA,IDFC
BANKBARODA,IOB
BANKBARODA,MFSL
BANKBARODA,UCOBANK
MAHABANK,CUB
MAHABANK,MFSL
MAHABANK,MCX
MAHABANK,PFC
CRISIL,CENTRALBK
CRISIL,IDFCFIRSTB
CRISIL,IDFC
CRISIL,IOB
CRISIL,MFSL
CRISIL,SHRIRAMCIT
CANBK,FEDERALBNK
CANBK,IDFC
CANBK,MFSL
CANBK,PNB
CHOLAFIN,PFC
CUB,IDFCFIRSTB
CUB,IOB
CUB,MFSL
CUB,MCX
CUB,RECLTD
CUB,UCOBANK
CUB,UNIONBANK
DCBBANK,FEDERALBNK
DCBBANK,MFSL
DCBBANK,PFC
DCBBANK,PNB
DCBBANK,RECLTD
DCBBANK,UNIONBANK
FEDERALBNK,KARURVYSYA
HDFCBANK,HDFC
IDFCFIRSTB,IOB
IDFCFIRSTB,MFSL
IDFCFIRSTB,UCOBANK
IDFCFIRSTB,UNIONBANK
IDFC,MFSL
IOB,UCOBANK
MFSL,MCX
MFSL,PNB
MFSL,RECLTD
MFSL,UCOBANK
MFSL,UNIONBANK
MCX,RECLTD
RECLTD,UCOBANK
BSOFT,MINDTREE
BSOFT,MPHASIS
HCLTECH,INFY
HCLTECH,INTELLECT
HCLTECH,MPHASIS
HCLTECH,SONATSOFTW
HCLTECH,TCS
HCLTECH,TECHM
HCLTECH,ZENSARTECH
INFY,INTELLECT
INFY,TCS
INFY,ZENSARTECH
INTELLECT,MPHASIS
INTELLECT,TCS
INTELLECT,TECHM
MINDTREE,MPHASIS
OFSS,PERSISTENT
OFSS,SONATSOFTW
OFSS,WHIRLPOOL
SONATSOFTW,TECHM
DLF,PRESTIGE
GODREJPROP,PHOENIXLTD
GODREJPROP,SOBHA
OBEROIRLTY,SOBHA
