,Symbol,Sector
128,GILLETTE,Consumer Defensive
129,GLAXO,Healthcare
130,GLENMARK,Healthcare
131,GODFRYPHLP,Consumer Defensive
132,GODREJCP,Consumer Defensive
133,GODREJIND,Industrials
134,GODREJPROP,Real Estate
135,GRANULES,Healthcare
136,GRAPHITE,Industrials
137,GRASIM,Basic Materials
138,GESHIP,Industrials
139,GREAVESCOT,Industrials
140,GRINDWELL,Industrials
141,GUJALKALI,Basic Materials
142,GAEL,Consumer Defensive
143,GUJGASLTD,Utilities
144,GNFC,Basic Materials
145,GPPL,Industrials
146,GSFC,Basic Materials
147,GSPL,Utilities
148,GULFOILLUB,Basic Materials
149,HEG,Industrials
150,HCLTECH,Technology
151,HDFCBANK,Financial Services
152,HFCL,Technology
153,HATSUN,Consumer Defensive
154,HAVELLS,Industrials
155,HEIDELBERG,Basic Materials
156,HEROMOTOCO,Consumer Cyclical
157,HSCL,Basic Materials
158,HINDALCO,Basic Materials
159,HINDCOPPER,Basic Materials
160,HINDPETRO,Energy
161,HINDUNILVR,Consumer Defensive
162,HINDZINC,Basic Materials
163,HONAUT,Industrials
164,HDFC,Financial Services
165,HUHTAMAKI,Consumer Cyclical
166,ICICIBANK,Financial Services
167,IDBI,Financial Services
168,IDFCFIRSTB,Financial Services
169,IDFC,Financial Services
170,IFBIND,Technology
171,IIFL,Financial Services
172,IOLCP,Healthcare
173,IRB,Industrials
174,ITC,Consumer Defensive
175,ITI,Technology
176,INDIACEM,Basic Materials
177,IBULHSGFIN,Financial Services
178,IBREALEST,Real Estate
179,INDIANB,Financial Services
180,INDHOTEL,Consumer Cyclical
181,IOC,Energy
182,IOB,Financial Services
183,ICIL,Consumer Cyclical
184,INDOCO,Healthcare
185,IGL,Utilities
186,INDUSINDBK,Financial Services
187,NAUKRI,Communication Services
188,INFY,Technology
189,INGERRAND,Industrials
190,INOXLEISUR,Communication Services
191,INTELLECT,Technology
192,INDIGO,Industrials
193,IPCALAB,Healthcare
194,JBCHEPHARM,Healthcare
195,JKCEMENT,Basic Materials
196,JKLAKSHMI,Basic Materials
197,JKPAPER,Basic Materials
198,JKTYRE,Consumer Cyclical
199,JMFINANCIL,Financial Services
200,JSWENERGY,Utilities
201,JSWSTEEL,Basic Materials
202,JTEKTINDIA,Consumer Cyclical
203,JAMNAAUTO,Consumer Cyclical
204,JINDALSAW,Basic Materials
205,JSL,Basic Materials
206,JINDALSTEL,Basic Materials
207,JCHAC,Technology
208,JUBLFOOD,Consumer Cyclical
209,JUSTDIAL,Communication Services
210,JYOTHYLAB,Consumer Defensive
211,KPRMILL,Consumer Cyclical
212,KEI,Industrials
213,KNRCON,Industrials
214,KRBL,Consumer Defensive
215,KSB,Industrials
216,KAJARIACER,Industrials
217,KALPATPOWR,Industrials
218,KANSAINER,Basic Materials
219,KARURVYSYA,Financial Services
220,KSCL,Consumer Defensive
221,KEC,Industrials
222,KOTAKBANK,Financial Services
223,L&TFH,Financial Services
224,LICHSGFIN,Financial Services
225,LAOPALA,Consumer Cyclical
226,LAXMIMACH,Industrials
227,LT,Industrials
228,LINDEINDIA,Basic Materials
229,LUPIN,Healthcare
230,LUXIND,Consumer Cyclical
231,MMTC,Industrials
232,MOIL,Basic Materials
233,MRF,Consumer Cyclical
234,MAHSCOOTER,Consumer Cyclical
235,MAHSEAMLES,Basic Materials
236,M&MFIN,Financial Services
237,M&M,Consumer Cyclical
238,MAHINDCIE,Consumer Cyclical
239,MHRIL,Consumer Cyclical
240,MANAPPURAM,Financial Services
241,MRPL,Energy
242,MARICO,Consumer Defensive
243,MARUTI,Consumer Cyclical
244,MFSL,Financial Services
245,MINDTREE,Technology
246,MINDACORP,Consumer Cyclical
247,MINDAIND,Consumer Cyclical
248,MOTHERSUMI,Consumer Cyclical
249,MOTILALOFS,Financial Services
250,MPHASIS,Technology
251,MCX,Financial Services
252,MUTHOOTFIN,Financial Services
253,NATCOPHARM,Healthcare
254,NBCC,Industrials
255,NCC,Industrials
256,NESCO,Industrials
257,NHPC,Utilities
258,NLCINDIA,Utilities
259,NMDC,Basic Materials
260,NOCIL,Basic Materials
261,NTPC,Utilities
262,NATIONALUM,Basic Materials
263,NFL,Basic Materials
264,NAVINFLUOR,Basic Materials
265,NESTLEIND,Consumer Defensive
266,NETWORK18,Communication Services
267,NILKAMAL,Consumer Cyclical
268,OBEROIRLTY,Real Estate
269,ONGC,Energy
270,OIL,Energy
271,OFSS,Technology
272,ORIENTREF,Industrials
273,PIIND,Basic Materials
274,PNCINFRA,Industrials
275,PVR,Communication Services
276,PAGEIND,Consumer Cyclical
277,PERSISTENT,Technology
278,PETRONET,Energy
279,PFIZER,Healthcare
280,PHILIPCARB,Basic Materials
281,PHOENIXLTD,Real Estate
282,PIDILITIND,Basic Materials
283,PEL,Financial Services
284,POLYMED,Healthcare
285,POLYPLEX,Basic Materials
286,PFC,Financial Services
287,POWERGRID,Utilities
288,PRESTIGE,Real Estate
289,PRSMJOHNSN,Basic Materials
290,PGHL,Healthcare
291,PGHH,Consumer Defensive
292,PNB,Financial Services
293,RECLTD,Financial Services
294,RADICO,Consumer Defensive
295,RAIN,Basic Materials
296,RAJESHEXPO,Consumer Cyclical
297,RALLIS,Basic Materials
298,RCF,Basic Materials
299,RATNAMANI,Basic Materials
300,RAYMOND,Consumer Cyclical
301,REDINGTON,Technology
302,RELAXO,Consumer Cyclical
303,RELIANCE,Energy
304,RESPONIND,Basic Materials
305,SJVN,Utilities
306,SKFINDIA,Industrials
307,SRF,Basic Materials
308,SANOFI,Healthcare
309,SCHAEFFLER,Industrials
310,SCHNEIDER,Industrials
311,SHARDACROP,Basic Materials
312,SHILPAMED,Healthcare
313,SCI,Industrials
314,SHOPERSTOP,Consumer Cyclical
315,SHREECEM,Basic Materials
316,SHRIRAMCIT,Financial Services
317,SRTRANSFIN,Financial Services
318,SIEMENS,Industrials
319,SOBHA,Real Estate
320,SOLARINDS,Basic Materials
321,SONATSOFTW,Technology
322,SBIN,Financial Services
323,SAIL,Basic Materials
324,STAR,Healthcare
325,SUDARSCHEM,Basic Materials
326,SPARC,Healthcare
327,SUNPHARMA,Healthcare
328,SUNTV,Communication Services
329,SUNCLAYLTD,Consumer Cyclical
330,SUNDARMFIN,Financial Services
331,SUNDRMFAST,Consumer Cyclical
332,SUNTECK,Real Estate
333,SUPRAJIT,Consumer Cyclical
334,SUPREMEIND,Consumer Cyclical
335,SUPPETRO,Basic Materials
336,SUZLON,Industrials
337,SWANENERGY,Consumer Cyclical
338,SYMPHONY,Consumer Cyclical
339,SYNGENE,Healthcare
340,TTKPRESTIG,Consumer Cyclical
341,TV18BRDCST,Communication Services
342,TVSMOTOR,Consumer Cyclical
343,TANLA,Technology
344,TATACHEM,Basic Materials
345,TATACOFFEE,Consumer Defensive
346,TATACOMM,Communication Services
347,TCS,Technology
348,TATACONSUM,Consumer Defensive
349,TATAELXSI,Technology
350,TATAINVEST,Financial Services
351,TATAMTRDVR,Consumer Cyclical
352,TATAMOTORS,Consumer Cyclical
353,TATAPOWER,Utilities
354,TATASTLBSL,Basic Materials
355,TATASTEEL,Basic Materials
356,TECHM,Technology
357,RAMCOCEM,Basic Materials
358,THERMAX,Industrials
359,TIMKEN,Industrials
360,TITAN,Consumer Cyclical
361,TORNTPHARM,Healthcare
362,TORNTPOWER,Utilities
363,TRENT,Consumer Cyclical
364,TRIDENT,Consumer Cyclical
365,TRITURBINE,Industrials
366,UCOBANK,Financial Services
367,UFLEX,Consumer Cyclical
368,UPL,Basic Materials
369,ULTRACEMCO,Basic Materials
370,UNIONBANK,Financial Services
371,UBL,Consumer Defensive
372,MCDOWELL-N,Consumer Defensive
373,VGUARD,Industrials
374,VMART,Consumer Cyclical
375,VIPIND,Consumer Cyclical
376,VSTIND,Consumer Defensive
377,VAIBHAVGBL,Consumer Cyclical
378,VAKRANGEE,Technology
379,VTL,Consumer Cyclical
380,VEDL,Basic Materials
381,VENKEYS,Consumer Defensive
382,VINATIORGA,Basic Materials
383,IDEA,Communication Services
384,VOLTAS,Industrials
385,WABCOINDIA,Consumer Cyclical
386,WELCORP,Basic Materials
387,WELSPUNIND,Consumer Cyclical
388,WHIRLPOOL,Technology
389,WIPRO,Technology
390,WOCKPHARMA,Healthcare
391,YESBANK,Financial Services
392,ZEEL,Communication Services
393,ZENSARTECH,Technology
394,ZYDUSWELL,Consumer Defensive
395,ECLERX,Technology
