,Symbol,Sector
401,DEEPAKFERT,Basic Materials
402,BEPL,Basic Materials
403,PTC,Utilities
404,HIL,Industrials
405,IFCI,Financial Services
406,RELIGARE,Financial Services
407,GREENLAM,Consumer Cyclical
408,SCHNEIDER,Industrials
409,TATACOFFEE,Consumer Defensive
410,JPPOWER,Utilities
411,RAMCOIND,Industrials
412,GDL,Industrials
413,BALMLAWRIE,Industrials
414,VENKEYS,Consumer Defensive
415,UNICHEMLAB,Healthcare
416,GHCL,Basic Materials
417,INGERRAND,Industrials
418,REPCOHOME,Financial Services
419,VRLLOG,Industrials
420,GREENPLY,Basic Materials
421,JTEKTINDIA,Consumer Cyclical
422,MARKSANS,Healthcare
423,TRIVENI,Consumer Defensive
424,ATFL,Consumer Defensive
425,SUBROS,Consumer Cyclical
426,AHLUCONT,Industrials
427,ORIENTCEM,Basic Materials
428,JBMA,Consumer Cyclical
429,BANARISUG,Consumer Defensive
430,TCI,Industrials
431,ASTEC,Basic Materials
432,NIITLTD,Consumer Defensive
433,EVEREADY,Industrials
434,VESUVIUS,Industrials
435,RENUKA,Consumer Defensive
436,GEPIL,Industrials
437,KIRLOSBROS,Industrials
438,KTKBANK,Financial Services
439,SURYAROSNI,Basic Materials
440,DAAWAT,Consumer Defensive
441,MAYURUNIQ,Consumer Cyclical
442,THOMASCOOK,Consumer Cyclical
443,MAHSEAMLES,Basic Materials
444,NAVNETEDUL,Communication Services
445,J&KBANK,Financial Services
446,APARINDS,Industrials
447,SOMANYCERA,Industrials
448,CAMLINFINE,Basic Materials
449,ADFFOODS,Consumer Defensive
450,OLECTRA,Consumer Cyclical
451,HIKAL,Healthcare
452,GMDCLTD,Energy
453,ACE,Industrials
454,PILANIINVS,Financial Services
455,HSCL,Basic Materials
456,PDSMFL,Industrials
457,KOLTEPATIL,Real Estate
458,PFOCUS,Communication Services
459,DCAL,Healthcare
460,ARVIND,Consumer Cyclical
461,DISHTV,Communication Services
462,JPASSOCIAT,Industrials
463,TINPLATE,Basic Materials
464,SAGCEM,Basic Materials
465,RKFORGE,Industrials
466,PURVA,Industrials
467,AMRUTANJAN,Healthcare
468,JAGRAN,Communication Services
469,INEOSSTYRO,Basic Materials
470,HESTERBIO,Healthcare
471,RAMCOSYS,Technology
472,WELENT,Industrials
473,ANANTRAJ,Real Estate
474,AUTOAXLES,Consumer Cyclical
475,WSTCSTPAPR,Basic Materials
476,SWARAJENG,Consumer Cyclical
477,TVTODAY,Communication Services
478,SHK,Consumer Defensive
479,DBCORP,Communication Services
480,MAITHANALL,Basic Materials
481,FMGOETZE,Consumer Cyclical
482,WABAG,Industrials
483,VSTTILLERS,Industrials
484,INOXWIND,Industrials
485,DALMIASUG,Consumer Defensive
486,JAICORPLTD,Basic Materials
487,SARDAEN,Basic Materials
488,TIDEWATER,Basic Materials
489,LUMAXIND,Consumer Cyclical
490,SOUTHBANK,Financial Services
491,CHENNPETRO,Energy
492,GABRIEL,Consumer Cyclical
493,ORISSAMINE,Basic Materials
494,FILATEX,Consumer Cyclical
495,JKIL,Industrials
496,BOMDYEING,Real Estate
497,MOREPENLAB,Healthcare
498,HMT,Industrials
499,HIMATSEIDE,Consumer Cyclical
500,KIRIINDUS,Basic Materials
501,NUCLEUS,Technology
502,KSL,Basic Materials
503,SOTL,Basic Materials
504,TIMETECHNO,Consumer Cyclical
505,HERITGFOOD,Consumer Defensive
506,RSYSTEMS,Technology
507,TVSSRICHAK,Consumer Cyclical
508,ASHIANA,Real Estate
509,ITDCEM,Industrials
510,SASKEN,Technology
511,INDIAGLYCO,Basic Materials
512,GANECOS,Consumer Cyclical
513,HINDOILEXP,Energy
514,ACCELYA,Technology
515,PRAKASH,Basic Materials
516,IGPL,Basic Materials
517,PCJEWELLER,Consumer Cyclical
518,JMCPROJECT,Industrials
519,RTNPOWER,Utilities
520,GATI,Industrials
521,OMAXE,Real Estate
522,GENUSPOWER,Industrials
523,PSB,Financial Services
524,NBVENTURES,Utilities
525,IMFA,Basic Materials
526,RPOWER,Utilities
527,HCC,Industrials
528,DHAMPURSUG,Consumer Defensive
529,CARERATING,Financial Services
530,3IINFOTECH,Technology
531,KIRLOSIND,Industrials
532,GEOJITFSL,Financial Services
533,MMFL,Industrials
534,FCONSUMER,Consumer Defensive
535,MTNL,Communication Services
536,MUKANDLTD,Basic Materials
