,NAME,OPEN,HIGH,LOW,CLOSE,DATE,TYPE,CONSECUTIVE
43,CESC,617.0,620.65,615.25,620.65,2021-02-09,HH,1
44,CHOLAFIN,387.65,470.9,387.65,411.35,2021-02-09,HH,1
45,CIPLA,822.8,856.85,820.65,826.6,2021-02-09,LH,1
46,COALINDIA,135.4,143.45,135.05,135.35,2021-02-09,HH,1
47,COFORGE,2703.25,2643.9,2685.85,2722.25,2021-02-09,HH,6
48,COLPAL,1565.0,1619.0,1564.0,1578.45,2021-02-09,HH,1
49,CONCOR,400.45,508.9,399.3,403.4,2021-02-09,LH,1
50,COROMANDEL,813.9,784.0,811.0,813.65,2021-02-09,LH,1
51,CROMPTON,382.0,410.5,373.25,378.05,2021-02-09,LH,3
52,CUB,180.1,174.45,179.1,180.45,2021-02-09,LH,3
53,CUMMINSIND,575.5,791.8,572.0,581.35,2021-02-09,LH,1
54,DABUR,534.0,532.05,532.3,534.2,2021-02-09,HH,1
55,DALBHARAT,1083.9,1352.0,1061.0,1094.5,2021-02-09,HH,3
56,DEEPAKNTR,949.0,1046.9,946.95,987.85,2021-02-09,LH,1
57,DHANI,321.65,348.0,310.5,313.4,2021-02-09,LH,5
58,DIVISLAB,3839.0,3841.25,3817.85,3849.05,2021-02-09,LH,1
59,DIXON,13514.05,18250.0,13480.0,13621.9,2021-02-09,HH,3
60,DLF,232.85,321.0,232.5,238.35,2021-02-09,HH,8
61,DMART,2767.0,3007.9,2747.0,2789.1,2021-02-09,LH,1
62,DRREDDY,5217.25,4895.7,5200.0,5241.35,2021-02-09,LH,1
63,EICHERMOT,2531.0,3018.0,2515.8,2542.7,2021-02-09,HH,1
64,EMAMILTD,425.4,508.95,419.6,423.7,2021-02-09,LH,1
65,ENDURANCE,1356.5,1483.5,1330.8,1349.75,2021-02-09,LH,2
66,ESCORTS,1289.6,1468.45,1281.0,1287.8,2021-02-09,HH,7
67,EXIDEIND,191.7,219.3,190.5,191.35,2021-02-09,HH,2
68,FEDERALBNK,67.0,85.45,66.8,68.05,2021-02-09,HH,1
69,FORTIS,156.0,179.4,154.15,156.0,2021-02-09,HH,6
70,GAIL,123.9,133.45,122.55,123.65,2021-02-09,LH,1
71,GLENMARK,493.75,513.25,493.7,502.6,2021-02-09,HH,1
72,GMRINFRA,26.5,27.05,26.3,26.6,2021-02-08,LH,2
73,GODREJAGRO,543.0,509.0,537.0,538.3,2021-02-09,LH,3
74,GODREJCP,742.0,748.4,738.0,738.95,2021-02-09,LH,2
75,GODREJIND,424.35,460.0,423.0,428.9,2021-02-09,LH,2
76,GODREJPROP,1432.0,1462.0,1414.5,1427.25,2021-02-09,HH,8
77,GRASIM,924.5,1226.5,920.25,933.4,2021-02-09,HH,2
78,GSPL,222.0,223.35,217.75,218.5,2021-02-09,HH,4
79,GUJGASLTD,378.7,477.0,375.6,378.0,2021-02-09,HH,5
80,HAL,849.0,1043.85,847.6,856.8,2021-02-09,LH,1
81,HAVELLS,919.8,1169.65,904.75,909.9,2021-02-09,HH,1
82,HCLTECH,942.0,981.9,942.0,950.5,2021-02-09,HH,2
83,HDFC,2549.0,2784.0,2541.15,2568.75,2021-02-09,HH,1
84,HDFCAMC,2937.65,3108.95,2935.0,2998.05,2021-02-09,HH,2
85,HDFCBANK,1440.0,1628.0,1420.6,1425.05,2021-02-09,LH,1
86,HDFCLIFE,676.5,710.2,675.0,678.4,2021-02-09,HH,2
87,HEROMOTOCO,3115.0,3538.0,3093.0,3102.65,2021-02-09,HH,1
88,HINDALCO,239.0,285.9,237.6,238.35,2021-02-09,HH,2
89,HINDPETRO,219.25,232.75,217.75,221.25,2021-02-09,HH,1
90,HINDUNILVR,2395.4,2254.7,2382.0,2387.55,2021-02-09,LH,1
91,HINDZINC,239.15,301.75,237.2,239.05,2021-02-09,LH,1
92,IBULHSGFIN,221.0,225.3,218.4,221.75,2021-02-09,HH,1
93,ICICIBANK,535.55,643.2,526.1,527.5,2021-02-09,HH,1
94,ICICIGI,1518.0,1535.0,1505.0,1519.2,2021-02-09,HH,1
95,ICICIPRULI,501.0,484.9,496.25,498.7,2021-02-09,HH,1
96,IDEA,10.75,12.5,10.6,11.2,2021-02-09,HH,1
97,IDFCFIRSTB,37.05,52.2,36.85,37.4,2021-02-09,HH,1
98,IGL,503.0,565.0,501.0,507.15,2021-02-09,HH,1
99,INDHOTEL,120.1,127.7,120.1,123.95,2021-02-09,HH,2
100,INDIAMART,6411.0,9339.95,6382.25,7038.3,2021-02-09,LH,2
101,INDIGO,1719.0,1708.0,1692.95,1713.5,2021-02-09,LH,1
102,INDUSINDBK,895.0,1051.6,893.05,900.15,2021-02-09,LH,2
103,INDUSTOWER,230.7,263.4,230.6,235.45,2021-02-09,HH,1
104,INFY,1257.9,1332.0,1255.8,1260.45,2021-02-09,HH,2
105,IOC,91.3,99.8,91.1,91.5,2021-02-09,LH,2
106,IPCALAB,2196.0,1995.0,2172.1,2180.05,2021-02-09,LH,3
107,IRCTC,1447.0,1688.9,1440.1,1445.0,2021-02-09,HH,5
108,ISEC,463.8,415.6,462.0,465.6,2021-02-09,LH,4
109,ITC,209.9,239.2,209.3,213.85,2021-02-09,HH,1
110,JINDALSTEL,268.3,317.25,268.1,270.15,2021-02-09,HH,3
111,JSWENERGY,67.8,73.4,66.0,66.8,2021-02-09,HH,2
112,JSWSTEEL,387.25,420.0,384.6,389.7,2021-02-09,HH,8
113,JUBLFOOD,2803.0,2824.1,2787.25,2792.8,2021-02-09,LH,3
114,KOTAKBANK,1996.9,1975.0,1990.7,1994.05,2021-02-09,LH,1
115,L&TFH,93.7,90.7,93.5,97.0,2021-02-09,LH,5
