Date,Open,High,Low,Close,Adj Close,Volume
2017-01-18,65.599998,66.150002,64.750000,65.050003,63.614460,1491101
2017-01-19,65.000000,69.699997,65.000000,67.300003,65.814804,3733530
2017-01-20,67.199997,67.199997,64.300003,64.599998,63.174389,1156783
2017-01-23,65.000000,66.650002,64.300003,66.099998,64.641289,1001501
2017-01-24,66.550003,66.949997,64.599998,66.150002,64.690178,932304
2017-01-25,68.000000,70.300003,66.500000,70.050003,68.504112,5237449
2017-01-27,70.550003,71.000000,68.099998,68.699997,67.183914,1697013
2017-01-30,68.699997,68.900002,67.199997,67.599998,66.108185,648953
2017-01-31,67.300003,68.199997,66.000000,66.349998,64.885765,705677
2017-02-01,66.849998,68.550003,66.500000,68.000000,66.499352,1010399
2017-02-02,68.250000,70.349998,67.500000,69.150002,67.623978,1626540
2017-02-03,69.000000,69.750000,67.150002,67.449997,65.961487,1214645
2017-02-06,67.949997,68.699997,67.300003,67.550003,66.059288,506373
2017-02-07,67.599998,68.099998,66.500000,66.900002,65.423637,501646
2017-02-08,66.949997,68.400002,66.949997,67.900002,66.401558,616855
2017-02-09,67.949997,69.199997,67.050003,67.550003,66.059288,1119150
2017-02-10,68.000000,71.750000,67.750000,69.800003,68.259636,5860872
2017-02-13,70.800003,71.800003,69.099998,69.949997,68.406319,1837631
2017-02-14,70.250000,71.449997,69.250000,70.000000,68.455223,1086489
2017-02-15,70.000000,70.199997,67.000000,67.099998,65.619209,746962
2017-02-16,67.400002,69.150002,66.550003,68.849998,67.330597,903500
2017-02-17,69.000000,69.400002,67.400002,67.699997,66.205978,493215
2017-02-20,67.949997,69.900002,67.900002,69.050003,67.526192,751099
2017-02-21,69.250000,72.300003,68.849998,71.000000,69.433151,2426151
2017-02-22,71.400002,71.949997,69.050003,69.599998,68.064041,1302014
2017-02-23,69.699997,69.849998,68.050003,68.199997,66.694939,584666
2017-02-27,68.300003,70.000000,67.699997,68.150002,66.646049,861922
2017-02-28,68.199997,68.800003,67.650002,67.849998,66.352669,478264
2017-03-01,68.099998,71.000000,68.099998,70.449997,68.895287,2085207
2017-03-02,70.949997,71.949997,69.000000,69.550003,68.015160,1674443
2017-03-03,69.500000,69.849998,68.250000,68.900002,67.379494,752767
2017-03-06,69.550003,71.050003,69.199997,69.550003,68.015160,1037460
2017-03-07,69.500000,70.199997,68.449997,68.699997,67.183914,477079
2017-03-08,68.949997,69.300003,67.000000,67.250000,65.765907,629423
2017-03-09,67.099998,67.599998,66.500000,66.650002,65.179146,479344
2017-03-10,67.150002,67.150002,64.900002,65.150002,63.712250,564817
2017-03-14,66.949997,67.300003,65.199997,65.449997,64.005630,329577
2017-03-15,65.900002,68.099998,65.599998,66.949997,65.472527,1108991
2017-03-16,67.300003,69.800003,67.250000,68.900002,67.379494,1698739
2017-03-17,69.400002,69.449997,67.250000,67.500000,66.010391,697073
2017-03-20,68.000000,68.599998,67.150002,67.300003,65.814804,381439
2017-03-21,67.500000,68.099998,66.500000,67.099998,65.619209,368658
2017-03-22,66.150002,66.449997,65.599998,66.050003,64.592384,463594
2017-03-23,66.599998,68.250000,66.449997,67.349998,65.863701,1073528
2017-03-24,67.750000,68.400002,66.300003,66.750000,65.276939,577136
2017-03-27,66.699997,67.250000,65.500000,65.750000,64.299019,404092
2017-03-28,66.000000,66.699997,65.250000,65.400002,63.956730,399607
2017-03-29,65.949997,66.250000,65.000000,65.199997,63.761150,370050
2017-03-30,65.400002,66.199997,65.300003,65.449997,64.005630,344398
2017-03-31,65.750000,67.000000,65.650002,66.099998,64.641289,766571
2017-04-03,66.500000,67.199997,66.199997,66.849998,65.374733,717990
2017-04-05,66.599998,70.199997,66.400002,69.099998,67.575073,2015494
2017-04-06,68.900002,70.650002,68.500000,69.099998,67.575073,939223
2017-04-07,68.650002,69.000000,67.050003,67.449997,65.961487,645404
2017-04-10,67.449997,68.650002,67.400002,67.650002,66.157082,373215
2017-04-11,67.699997,69.199997,67.500000,68.099998,66.597145,574564
2017-04-12,68.599998,68.599998,65.900002,66.400002,64.934669,599023
2017-04-13,66.750000,67.099998,65.699997,66.000000,64.543495,991014
2017-04-17,66.099998,67.000000,65.449997,66.099998,64.641289,449631
2017-04-18,66.150002,67.900002,64.199997,64.800003,63.369976,750540
2017-04-19,65.050003,65.349998,64.199997,64.849998,63.418869,419813
2017-04-20,64.849998,66.000000,64.849998,65.500000,64.054520,357419
2017-04-21,65.949997,67.400002,65.099998,66.400002,64.934669,879199
2017-04-24,67.150002,67.900002,66.250000,66.500000,65.032455,577297
2017-04-25,66.750000,67.400002,66.050003,66.400002,64.934669,447053
2017-04-26,66.500000,67.250000,64.750000,65.199997,63.761150,457960
2017-04-27,65.599998,65.750000,64.800003,65.199997,63.761150,248960
2017-04-28,65.449997,66.449997,64.800003,65.599998,64.152313,473143
2017-05-02,65.900002,66.599998,65.500000,65.699997,64.250107,346971
2017-05-03,66.000000,67.349998,65.449997,65.900002,64.445702,678412
2017-05-04,66.150002,66.199997,65.099998,65.199997,63.761150,339670
2017-05-05,65.000000,65.150002,63.250000,63.599998,62.196457,486165
2017-05-08,63.700001,64.199997,63.400002,63.950001,62.538731,296191
2017-05-09,64.000000,64.800003,63.599998,63.900002,62.489834,494419
2017-05-10,64.300003,64.849998,63.700001,63.900002,62.489834,579808
2017-05-11,64.150002,64.599998,63.450001,63.700001,62.294250,368764
2017-05-12,64.000000,64.199997,63.000000,63.299999,61.903076,273125
2017-05-15,63.750000,66.949997,63.500000,66.750000,65.276939,1332279
2017-05-16,67.500000,67.699997,66.099998,66.349998,64.885765,742731
2017-05-17,66.949997,67.449997,66.199997,66.699997,65.228043,521623
2017-05-18,68.500000,71.949997,68.050003,68.599998,67.086121,9960547
2017-05-19,69.500000,70.000000,67.199997,68.099998,66.597145,1144842
2017-05-22,68.449997,69.500000,65.599998,65.949997,64.494591,757904
2017-05-23,66.199997,66.500000,63.500000,64.050003,62.636528,598034
2017-05-24,64.000000,64.500000,61.750000,62.150002,60.778458,476603
2017-05-25,62.599998,63.500000,62.099998,62.950001,61.560802,355747
2017-05-26,63.000000,65.650002,62.849998,64.650002,63.223289,514823
2017-05-29,64.599998,65.050003,62.599998,62.900002,61.511906,405405
