,NAME,OPEN,HIGH,LOW,CLOSE,DATE,TYPE,CONSECUTIVE
165,SBILIFE,903.0,907.05,857.95,895.4,2021-02-02,HL,1
166,SBIN,274.9,280.0,315.0,279.4,2021-02-02,HL,3
167,SHREECEM,24050.0,24276.5,24200.55,23950.3,2021-02-02,HL,2
168,SIEMENS,1575.55,1620.2,1698.95,1601.55,2021-02-02,HL,1
169,SRF,5550.0,5730.0,5430.0,5681.2,2021-02-02,HL,1
170,SRTRANSFIN,1047.9,1076.9,1346.7,1070.85,2021-02-02,HL,3
171,SUNPHARMA,592.5,599.75,591.5,596.25,2021-02-02,HL,3
172,SUNTV,481.0,486.0,499.3,478.4,2021-02-02,HL,1
173,SYNGENE,639.0,639.55,562.05,632.35,2021-02-02,HL,1
174,TATACHEM,477.9,482.2,497.85,479.95,2021-02-02,HL,1
175,TATACONSUM,593.0,606.8,567.15,601.5,2021-02-02,HL,2
176,TATAELXSI,1843.0,1875.0,2835.0,1867.95,2021-02-02,HL,5
177,TATAMOTORS,184.95,187.0,290.4,186.5,2021-02-02,HL,1
178,TATAPOWER,76.0,77.75,79.65,77.35,2021-02-02,HL,1
179,TATASTEEL,645.0,649.7,624.1,643.1,2021-02-02,HL,2
180,TCS,2880.0,2940.0,3150.0,2928.25,2021-02-02,HL,1
181,TECHM,976.0,981.2,937.5,977.95,2021-02-02,HL,1
182,TITAN,1562.1,1573.0,1482.0,1558.6,2021-02-02,HL,2
183,TORNTPHARM,2802.9,2819.85,2519.3,2795.05,2021-02-02,HL,1
184,TORNTPOWER,317.4,322.25,308.55,320.85,2021-02-02,HL,3
185,TRENT,690.9,691.95,641.15,674.65,2021-02-02,HL,2
186,TVSMOTOR,486.0,492.0,582.75,490.75,2021-02-02,HL,3
187,UBL,1185.0,1201.35,1270.55,1183.15,2021-02-02,HL,1
188,ULTRACEMCO,5316.9,5349.0,5785.0,5290.8,2021-02-02,HL,1
189,UNIONBANK,31.75,32.2,32.6,32.1,2021-02-02,HL,3
190,UPL,469.9,476.6,541.0,469.3,2021-02-02,HL,1
191,VBL,912.0,921.85,866.0,907.95,2021-02-02,LL,1
192,VEDL,161.8,162.35,171.7,160.4,2021-02-02,HL,2
193,VGUARD,187.9,188.25,231.3,187.25,2021-02-02,HL,2
194,VOLTAS,827.0,834.0,944.85,831.45,2021-02-02,HL,2
195,WHIRLPOOL,2604.0,2635.95,2556.8,2614.55,2021-02-02,HL,1
196,WIPRO,385.05,390.75,423.65,388.1,2021-02-02,HL,1
197,YESBANK,17.85,18.45,16.1,18.0,2021-02-02,HL,2
198,ZEEL,223.5,226.25,227.5,224.95,2021-02-02,HL,1
