,NAME,OPEN,HIGH,LOW,CLOSE,DATE,TYPE,CONSECUTIVE
172,SUNTV,481.0,518.85,499.0,478.4,2021-03-04,None,0
173,SYNGENE,639.0,553.55,547.15,632.35,2021-03-04,None,0
174,TATACHEM,477.9,779.35,738.0,479.95,2021-03-05,LHL,1
175,TATACONSUM,593.0,643.5,618.0,601.5,2021-03-05,LHL,2
176,TATAELXSI,1843.0,2617.5,2551.0,1867.95,2021-03-03,None,0
177,TATAMOTORS,184.95,337.85,319.7,186.5,2021-03-05,LHL,2
178,TATAPOWER,76.0,96.4,93.0,77.35,2021-02-26,None,0
179,TATASTEEL,645.0,756.0,727.0,643.1,2021-03-05,LHL,1
180,TCS,2880.0,3063.2,2996.6,2928.25,2021-03-05,LHL,1
181,TECHM,976.0,948.85,915.0,977.95,2021-02-26,None,0
182,TITAN,1562.1,1431.95,1403.1,1558.6,2021-02-26,None,0
183,TORNTPHARM,2802.9,2450.0,2400.0,2795.05,2021-03-01,None,0
184,TORNTPOWER,317.4,383.65,362.05,320.85,2021-02-24,None,0
185,TRENT,690.9,935.8,877.05,674.65,2021-03-05,LHL,1
186,TVSMOTOR,486.0,628.6,612.7,490.75,2021-03-05,LHL,2
187,UBL,1185.0,1194.0,1153.3,1183.15,2021-02-26,None,0
188,ULTRACEMCO,5316.9,6284.95,6108.65,5290.8,2021-02-22,None,0
189,UNIONBANK,31.75,39.65,38.05,32.1,2021-03-05,LHL,1
190,UPL,469.9,615.9,586.0,469.3,2021-03-05,LHL,1
191,VBL,912.0,1055.55,1029.05,907.95,2021-03-05,LHL,1
192,VEDL,161.8,217.05,212.0,160.4,2021-03-04,None,0
193,VGUARD,187.9,222.6,217.55,187.25,2021-03-04,None,0
194,VOLTAS,827.0,1073.85,1029.15,831.45,2021-03-05,LHL,1
195,WHIRLPOOL,2604.0,2456.75,2401.05,2614.55,2021-03-05,LHL,1
196,WIPRO,385.05,440.0,417.0,388.1,2021-03-05,LHL,1
197,YESBANK,17.85,15.95,15.65,18.0,2021-02-26,None,0
198,ZEEL,223.5,229.4,215.4,224.95,2021-03-05,LHL,1
