SYMBOL,OPEN,HIGH,LOW,CLOSE,TIMESTAMP
VGUARD,220.05,242.0,212.15,231.85,22-JAN-2021
VMART,2402.0,2570.0,2384.45,2500.8,22-JAN-2021
VIPIND,352.0,365.65,341.0,353.2,22-JAN-2021
VRLLOG,193.4,196.55,185.1,186.25,22-JAN-2021
VSTIND,3625.05,3779.5,3600.0,3640.25,22-JAN-2021
VAIBHAVGBL,2614.95,2774.0,2555.0,2601.05,22-JAN-2021
VAKRANGEE,66.0,66.45,60.9,63.05,22-JAN-2021
VTL,1050.0,1082.0,1020.35,1055.9,22-JAN-2021
VARROC,422.95,447.7,413.45,428.8,22-JAN-2021
VBL,895.65,942.95,865.5,904.0,22-JAN-2021
VENKEYS,1593.5,1625.0,1550.05,1557.6,22-JAN-2021
VINATIORGA,1275.0,1281.85,1196.2,1219.55,22-JAN-2021
IDEA,13.65,13.65,12.4,12.7,22-JAN-2021
VOLTAS,886.0,995.6,876.45,934.05,22-JAN-2021
WABCOINDIA,5650.0,5650.05,5362.2,5378.75,22-JAN-2021
WELCORP,135.0,136.5,126.55,128.65,22-JAN-2021
WELSPUNIND,67.15,70.4,64.85,67.65,22-JAN-2021
WESTLIFE,470.0,480.0,446.05,470.1,22-JAN-2021
WHIRLPOOL,2439.95,2787.0,2363.15,2672.55,22-JAN-2021
WIPRO,441.0,453.45,427.7,444.75,22-JAN-2021
WOCKPHARMA,536.4,556.9,502.25,513.75,22-JAN-2021
YESBANK,18.1,18.1,16.75,17.0,22-JAN-2021
ZEEL,225.9,233.9,214.35,219.3,22-JAN-2021
ZENSARTECH,237.0,248.5,230.5,241.1,22-JAN-2021
ZYDUSWELL,1990.05,2104.3,1912.0,1935.05,22-JAN-2021
ECLERX,1004.0,1029.0,952.05,993.05,22-JAN-2021
