Date,Open,High,Low,Close,Adj Close,Volume,Name
2019-11-07,22600.0,22600.0,22300.0,22463.44921875,22463.44921875,648,3MINDIA
2019-11-08,22285.650390625,22844.0,22285.650390625,22392.900390625,22392.900390625,1601,3MINDIA
2019-11-11,22403.0,22649.900390625,22030.650390625,22504.19921875,22504.19921875,1572,3MINDIA
2019-11-13,22729.0,22800.0,22056.05078125,22258.19921875,22258.19921875,6417,3MINDIA
2019-11-14,22160.0,22464.0,22160.0,22269.55078125,22269.55078125,1460,3MINDIA
2019-11-15,22300.0,22500.0,22070.05078125,22259.05078125,22259.05078125,1194,3MINDIA
2019-11-18,22260.0,22465.0,22260.0,22390.349609375,22390.349609375,581,3MINDIA
2019-11-19,22350.05078125,22444.0,22105.05078125,22310.05078125,22310.05078125,693,3MINDIA
2019-11-20,22275.0,22479.94921875,22275.0,22372.849609375,22372.849609375,624,3MINDIA
2019-11-21,22375.0,22730.0,22335.55078125,22598.55078125,22598.55078125,2121,3MINDIA
2019-11-22,22645.0,22800.0,22359.75,22415.30078125,22415.30078125,1335,3MINDIA
2019-11-25,22417.55078125,22737.80078125,22415.0,22687.099609375,22687.099609375,1391,3MINDIA
2019-11-26,22698.5,22706.150390625,22450.0,22524.099609375,22524.099609375,1108,3MINDIA
2019-11-27,22690.0,22690.0,22369.05078125,22383.05078125,22383.05078125,1068,3MINDIA
2019-11-28,22498.0,22600.0,22312.44921875,22352.650390625,22352.650390625,1452,3MINDIA
2019-11-29,22370.099609375,22499.5,22157.05078125,22241.75,22241.75,1233,3MINDIA
2019-12-02,22399.0,22469.0,22180.0,22206.30078125,22206.30078125,1027,3MINDIA
2019-12-03,22239.44921875,22450.0,22100.0,22286.400390625,22286.400390625,814,3MINDIA
2019-12-04,22211.150390625,22294.400390625,21700.0,21869.099609375,21869.099609375,1364,3MINDIA
2019-12-05,21949.0,22035.349609375,21724.400390625,21862.900390625,21862.900390625,562,3MINDIA
2019-12-06,21899.5,21950.0,21600.0,21672.19921875,21672.19921875,336,3MINDIA
2019-12-09,21795.0,21900.05078125,21544.55078125,21631.75,21631.75,1405,3MINDIA
2019-12-10,21601.150390625,21670.0,21100.0,21131.25,21131.25,3858,3MINDIA
2019-12-11,21200.0,21257.150390625,20900.0,21143.349609375,21143.349609375,1402,3MINDIA
2019-12-12,21141.19921875,21309.099609375,20700.0,20738.849609375,20738.849609375,1328,3MINDIA
2019-12-13,20755.099609375,20996.849609375,20713.400390625,20750.349609375,20750.349609375,781,3MINDIA
2019-12-16,20750.0,20978.0,20725.0,20765.900390625,20765.900390625,643,3MINDIA
2019-12-17,21000.0,21099.0,20770.0,20967.30078125,20967.30078125,1121,3MINDIA
2019-12-18,20997.099609375,21150.0,20750.0,20844.849609375,20844.849609375,930,3MINDIA
2019-12-19,20878.05078125,21012.0,20820.0,20868.400390625,20868.400390625,917,3MINDIA
2019-12-20,20841.55078125,21500.0,20841.30078125,21320.650390625,21320.650390625,1996,3MINDIA
2019-12-23,21489.900390625,21600.0,21255.0,21438.80078125,21438.80078125,1045,3MINDIA
2019-12-24,21388.30078125,21850.0,21225.150390625,21641.099609375,21641.099609375,1251,3MINDIA
2019-12-26,21670.150390625,21795.19921875,21410.80078125,21496.650390625,21496.650390625,418,3MINDIA
2019-12-27,21496.0,21638.349609375,21451.19921875,21476.25,21476.25,385,3MINDIA
2019-12-30,21685.0,21685.0,21439.94921875,21479.05078125,21479.05078125,791,3MINDIA
2019-12-31,21639.0,21639.0,21210.0,21304.69921875,21304.69921875,1333,3MINDIA
